Y,X1,X2
0,0,1
-0.057549563,0.000028125,1
0.975096082,0.000182813,1
1.780100009,0.000295313,1
3.474114441,0.000412031,1
3.88511969,0.000497813,1
4.067293268,0.00057375,1
5.393856824,0.000644063,1
5.298522679,0.00072,1
5.633933947,0.000790313,1
5.730469187,0.000849375,1
6.26235355,0.000929531,1
7.24399192,0.00097875,1
7.097683609,0.001044844,1
0,0,5
0.854631346,0.00014625,5
0.12105959,0.000265781,5
2.34192673,0.00034875,5
2.91775047,0.000428906,5
3.54683536,0.000507656,5
3.872682044,0.000577969,5
4.276284836,0.000631406,5
4.685341719,0.000690469,5
5.309397783,0.000802969,5
5.640860632,0.000863437,5
5.975367916,0.000912656,5
6.161626595,0.000996047,5
6.653685119,0.0010125,5
6.179559376,0.00106875,5
7.094183268,0.001122188,5
7.971305862,0.001275469,5
8.277360505,0.001324688,5
8.585598653,0.00136125,5
8.766251094,0.001411875,5
9.156560607,0.001458281,5
9.33966531,0.001504688,5
9.734393343,0.001553906,5
0,0,10
0.884112738,0.000108281,10
1.644501075,0.000188438,10
2.32033516,0.000271406,10
2.854473823,0.0003375,10
3.520439542,0.000405,10
3.949618005,0.000471094,10
4.2793561,0.000530156,10
4.741169561,0.000597656,10
5.167771072,0.000644063,10
5.469737456,0.000700313,10
5.79720041,0.00075375,10
6.23781509,0.00081,10
6.440809633,0.000849375,10
6.756018217,0.000895781,10
6.963686298,0.000945,10
7.148608437,0.000988594,10
7.334943993,0.001035,10
7.522709234,0.001085625,10
7.737789203,0.001132031,10
8.068252695,0.001178438,10
8.261550159,0.001224844,10
8.456357759,0.00127125,10
8.593121526,0.001351406,10
8.791288566,0.001390781,10
8.991026283,0.001434375,10
9.047727792,0.001480781,10
9.366287601,0.001520156,10
9.278662932,0.001559531,10
0,0,15
2.005617168,0.000102656,15
3.187149414,0.000175781,15
4.31372549,0.000248906,15
4.642404355,0.000316406,15
5.898113208,0.000385313,15
6.676342525,0.00043875,15
7.035040431,0.000497813,15
7.399642829,0.000544219,15
8.219339623,0.000593438,15
8.672140207,0.000651094,15
9.059788233,0.000700313,15
9.454034524,0.000750938,15
9.855048992,0.000800156,15
10.32856213,0.00084375,15
9.787735849,0.000897188,15
10.19688269,0.000946406,15
10.67809179,0.000997031,15
11.1004904,0.001039219,15
11.03690099,0.001089844,15
11.53039832,0.001139063,15
11.46816038,0.001189688,15
11.9680176,0.001236094,15
11.9680176,0.001275469,15
11.90719021,0.001319063,15
11.84581235,0.001368281,15
12.3542024,0.001407656,15
12.3542024,0.00145125,15
12.29430516,0.001487813,15
